Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772486080	0	0	0	0	0	511687	514240	0	1178240	6593	0	89	0	0	0	0	0	0	0	1	1
1772486082	2	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	3198	11	2748	4	0	0	4	4
1772486084	4	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	7116	38	6150	23	0	0	4	4
1772486086	6	0	0	0	0	938777	3755084	0	4712960	6593	0	89	0	15039	100	15046	97	0	0	4	4
1772486088	8	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	35638	182	29320	209	0	0	4	4
1772486090	10	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	55384	265	40496	300	0	0	4	4
1772486092	12	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	78110	362	57600	426	0	0	4	4
1772486094	14	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	112684	473	75152	529	0	0	4	4
1772486096	16	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	116449	502	77298	550	0	0	4	4
1772486098	18	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	117619	510	77682	555	0	0	4	4
1772486100	20	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	117805	513	77776	556	0	0	4	4
1772486102	22	0	0	0	0	938774	3755084	0	4712960	6593	0	89	0	123414	553	82790	595	0	0	4	4
1772486104	24	0	0	0	0	938774	3755084	0	4712960	6593	0	89	0	126505	584	94767	624	0	0	4	4
1772486106	26	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	126967	591	95307	630	0	0	4	4
1772486108	28	0	0	0	0	938776	3755084	0	4712960	6593	0	89	0	127309	596	95467	632	0	0	4	4
1772486110	30	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	128097	609	96187	643	0	0	4	4
1772486112	32	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	128283	612	96281	644	0	0	4	4
1772486114	34	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	139175	655	97094	653	0	0	4	4
1772486116	36	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	140313	675	97806	665	0	0	4	4
1772486118	38	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	141015	687	98286	673	0	0	4	4
1772486120	40	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	141615	697	98766	681	0	0	4	4
1772486122	42	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	142833	715	99854	695	0	0	4	4
1772486124	44	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	144374	736	101209	713	0	0	4	4
1772486126	46	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	145106	748	101821	723	0	0	4	4
1772486128	48	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	145706	758	102383	732	0	0	4	4
1772486130	50	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	145826	760	102383	732	0	0	4	4
1772486132	52	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	146012	763	102477	733	0	0	4	4
1772486134	54	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	147425	782	103704	749	0	0	4	4
1772486136	56	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	148308	795	104382	760	0	0	4	4
1772486138	58	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	148494	798	104448	761	0	0	4	4
1772486140	60	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	149346	807	105037	768	0	0	4	4
1772486142	62	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	150442	821	106001	782	0	0	4	4
1772486144	64	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	151441	833	106748	790	0	0	4	4
1772486146	66	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	152992	846	108222	804	0	0	4	4
1772486148	68	0	0	0	0	938785	3755084	0	4712960	6593	0	89	0	154475	867	110154	830	0	0	4	4
