Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772486292	0	0	0	0	0	1265	3880	0	301296	6593	0	11038805	11038720	0	0	0	0	0	0	1	5
1772486294	2	0	0	0	0	1265	3880	0	301296	6593	0	123506773	123506688	3480	18	2964	10	0	0	1	5
1772486296	4	0	0	0	0	1265	3880	0	301296	6593	0	249278549	249278464	3771	22	3135	12	0	0	1	5
1772486298	6	0	0	0	0	1265	3880	0	301296	6593	0	388206677	388206592	4471	34	3715	22	0	0	1	5
1772486300	8	0	0	0	0	1265	3880	0	301296	6593	0	513945685	513945600	5354	47	4393	33	1	0	1	5
1772486302	10	0	0	0	0	1265	3880	0	301296	6593	0	653168725	653168640	6494	64	5257	45	1	0	1	5
1772486304	12	0	0	0	0	1270	3880	0	301296	6593	0	779309141	779309056	7322	74	5833	51	1	0	1	5
1772486306	14	0	0	0	0	1270	3880	0	301296	53021121	0	800002133	800014336	9871	87	6214	56	1	0	1	5
1772486308	16	0	0	0	0	1270	3880	0	301296	179952065	0	800002133	800014336	10471	97	6694	64	1	0	1	5
1772486310	18	0	0	0	0	1270	3880	0	301296	321120705	0	800002133	800014336	11203	109	7306	74	2	0	1	5
1772486312	20	0	0	0	0	1270	3880	0	301296	448203201	0	800002133	800014336	11877	120	7888	83	2	0	1	5
1772486314	22	0	0	0	0	1265	3880	0	301296	589466049	0	800002133	800014336	14951	147	10695	105	2	0	1	5
1772486316	24	0	0	0	0	1265	3880	0	301296	730827201	0	800002133	800014336	16038	159	12004	114	2	0	1	5
1772486318	26	0	0	0	0	1265	3880	0	301296	800008641	0	800002133	800014336	16158	161	12004	114	2	0	1	5
