Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485679	0	0	0	0	0	497821	500316	0	1471208	6593	0	90	0	110	1	176	2	0	0	1	1
1772485681	2	0	0	0	0	1173049	1175668	0	1471208	6593	0	90	0	4314	23	3978	19	0	0	1	1
1772485683	4	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	5895	44	5225	37	0	0	1	1
1772485685	6	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	7552	66	6479	54	0	0	1	1
1772485687	8	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	8152	76	6959	62	0	0	1	1
1772485689	10	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	8752	86	7439	70	0	0	1	1
1772485691	12	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	9134	92	7781	74	0	0	1	1
1772485693	14	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	9254	94	7781	74	0	0	1	1
1772485695	16	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	10860	117	9069	92	0	0	1	1
1772485697	18	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	11578	128	9695	101	0	0	1	1
1772485699	20	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	12178	138	10175	109	0	0	1	1
1772485701	22	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	12838	147	10559	113	0	0	1	1
1772485703	24	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	13346	151	10559	113	0	0	1	1
1772485705	26	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	14720	170	11681	128	0	0	1	1
1772485707	28	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	15253	176	12037	132	0	0	1	1
1772485709	30	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	15540	180	12352	136	0	0	1	1
1772485711	32	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	16140	190	12832	144	0	0	1	1
1772485713	34	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	16260	192	12832	144	0	0	1	1
1772485715	36	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	17166	203	13632	152	0	0	1	1
1772485717	38	0	0	0	0	1173051	1175668	0	1471208	6593	0	90	0	17898	215	14244	162	0	0	1	1
