Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485873	0	0	0	0	0	1327	4116	0	129308	6593	0	55	0	0	0	0	0	0	2	1	16
1772485875	2	0	0	0	0	1327	4116	0	129308	6593	0	55	0	3936	20	3354	11	0	26	1	16
1772485877	4	0	0	0	0	1327	4116	0	129308	6593	0	55	0	4576	26	3874	15	0	60	1	16
1772485879	6	0	0	0	0	1327	4116	0	129308	6593	0	55	0	5176	36	4354	23	0	91	1	16
1772485881	8	0	0	0	0	1327	4116	0	129308	6593	0	55	0	6178	49	5212	33	0	125	1	16
1772485883	10	0	0	0	0	1321	4116	0	129308	6593	0	55	0	8616	64	8079	47	0	156	1	16
1772485885	12	0	0	0	0	1321	4116	0	129308	6593	0	55	0	9990	83	9229	62	0	186	1	16
1772485887	14	0	0	0	0	1327	4116	0	129308	6593	0	55	0	14321	117	12138	90	0	220	1	16
1772485889	16	0	0	0	0	1327	4116	0	129308	6593	0	55	0	15072	128	12746	100	0	251	1	16
1772485891	18	0	0	0	0	1327	4116	0	129308	6593	0	55	0	15866	141	13358	110	0	282	1	16
1772485893	20	0	0	0	0	1327	4116	0	129308	6593	0	55	0	16508	152	13900	119	0	316	1	16
1772485895	22	0	0	0	0	1327	4116	0	129308	6593	0	55	0	17336	162	14476	125	0	347	1	16
1772485897	24	0	0	0	0	1327	4116	0	129308	6593	0	55	0	18071	167	14853	129	0	377	1	16
1772485899	26	0	0	0	0	1327	4116	0	129308	6593	0	55	0	18886	180	15573	140	0	411	1	16
1772485901	28	0	0	0	0	1327	4116	0	129308	6593	0	55	0	19433	188	15771	143	0	442	1	16
1772485903	30	0	0	0	0	1327	4116	0	129308	6593	0	55	0	19553	190	15837	144	0	476	1	16
1772485905	32	0	0	0	0	1327	4116	0	129308	6593	0	55	0	20927	209	16893	158	0	507	1	16
1772485907	34	0	0	0	0	1327	4116	0	129308	6593	0	55	0	36693	294	38601	248	0	538	1	16
1772485909	36	0	0	0	0	1327	4116	0	129308	6593	0	55	0	42452	310	42187	267	0	572	1	16
1772485911	38	0	0	0	0	1327	4116	0	129308	6593	0	55	0	59912	403	49891	345	0	603	1	16
1772485913	40	0	0	0	0	1327	4116	0	129308	6593	0	55	0	84311	466	62495	424	0	634	1	16
1772485915	42	0	0	0	0	1328	4116	0	129308	6593	0	55	0	94160	527	66887	469	0	668	1	16
1772485917	44	0	0	0	0	1327	4116	0	129308	6593	0	55	0	96373	532	68139	471	0	699	1	16
1772485919	46	0	0	0	0	1327	4116	0	129308	6593	0	55	0	97899	544	69161	479	0	729	1	16
1772485921	48	0	0	0	0	1327	4116	0	129308	6593	0	55	0	101409	569	70774	498	0	763	1	16
1772485923	50	0	0	0	0	1327	4116	0	129308	6593	0	55	0	102108	579	71555	507	0	794	1	16
1772485925	52	0	0	0	0	1327	4116	0	129308	6593	0	55	0	103199	591	72606	517	0	828	1	16
1772485927	54	0	0	0	0	1327	4116	0	129308	6593	0	55	0	104129	605	73472	529	0	858	1	16
1772485929	56	0	0	0	0	1327	4116	0	129308	6593	0	55	0	104729	615	73952	537	0	889	1	16
1772485931	58	0	0	0	0	1327	4116	0	129308	6593	0	55	0	108051	642	76399	564	0	923	1	16
1772485933	60	0	0	0	0	1327	4116	0	129308	6593	0	55	0	109820	656	87124	576	0	953	1	16
1772485935	62	0	0	0	0	1327	4116	0	129308	6593	0	55	0	110780	668	87766	583	0	988	1	16
1772485937	64	0	0	0	0	1327	4116	0	129308	6593	0	55	0	111522	681	88537	595	0	1018	1	16
1772485939	66	0	0	0	0	1327	4116	0	129308	6593	0	55	0	111642	683	88537	595	0	1049	1	16
1772485941	68	0	0	0	0	1327	4116	0	129308	6593	0	55	0	112592	695	89239	602	0	1083	1	16
1772485943	70	0	0	0	0	1327	4116	0	129308	6593	0	55	0	113270	706	89943	612	0	1113	1	16
1772485945	72	0	0	0	0	1327	4116	0	129308	6593	0	55	0	114098	716	90519	618	0	1144	1	16
1772485947	74	0	0	0	0	1327	4116	0	129308	6593	0	55	0	114218	718	90519	618	0	1178	1	16
1772485949	76	0	0	0	0	1327	4116	0	129308	6593	0	55	0	115032	731	91351	630	0	1209	1	16
1772485951	78	0	0	0	0	1327	4116	0	129308	6593	0	55	0	116125	747	92295	644	0	1243	1	16
1772485953	80	0	0	0	0	1327	4116	0	129308	6593	0	55	0	116873	759	92979	654	0	1274	1	16
1772485955	82	0	0	0	0	1327	4116	0	129308	6593	0	55	0	117767	770	93621	661	0	1304	1	16
1772485957	84	0	0	0	0	1327	4116	0	129308	6593	0	55	0	117961	773	93723	662	0	1338	1	16
1772485959	86	0	0	0	0	1327	4116	0	129308	6593	0	55	0	118776	786	94443	673	0	1369	1	16
1772485961	88	0	0	0	0	1327	4116	0	129308	6593	0	55	0	119825	801	95241	684	0	1400	1	16
1772485963	90	0	0	0	0	1327	4116	0	129308	6593	0	55	0	120631	814	95927	695	0	1434	1	16
1772485965	92	0	0	0	0	1322	4116	0	129308	6593	0	55	0	123633	839	99427	717	0	1464	1	16
1772485967	94	0	0	0	0	1321	4116	0	129308	6593	0	55	0	125492	855	101307	736	0	1495	1	16
1772485969	96	0	0	0	0	1327	4116	0	129308	6593	0	55	0	131896	882	105557	765	0	1529	1	16
1772485971	98	0	0	0	0	1327	4116	0	129308	6593	0	55	0	138516	936	111904	831	0	1560	1	16
1772485973	100	0	0	0	0	1327	4116	0	129308	6593	0	55	0	162367	1010	125631	925	0	1594	1	16
1772485975	102	0	0	0	0	1327	4116	0	129308	6593	0	55	0	170867	1060	129403	962	0	1625	1	16
1772485977	104	0	0	0	0	1327	4116	0	129308	6593	0	55	0	172091	1066	129403	962	0	1656	1	16
1772485979	106	0	0	0	0	1327	4116	0	129308	6593	0	55	0	173423	1077	129952	970	0	1689	1	16
1772485981	108	0	0	0	0	1327	4116	0	129308	6593	0	55	0	174384	1092	130815	983	0	1721	1	16
1772485983	110	0	0	0	0	1327	4116	0	129308	6593	0	55	0	174901	1101	131212	990	0	1751	1	16
1772485985	112	0	0	0	0	1327	4116	0	129308	6593	0	55	0	175869	1113	131928	998	0	1785	1	16
1772485987	114	0	0	0	0	1322	4116	0	129308	6593	0	55	0	177920	1129	135095	1014	0	1815	1	16
