Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485428	0	0	0	0	0	1206	4004	0	14564	6593	0	54	0	66	1	0	0	0	0	1	2
1772485430	2	0	0	0	0	1206	4004	0	14564	6593	0	54	0	7055	46	6367	41	0	3	1	2
1772485432	4	0	0	0	0	1211	4004	0	14564	6593	0	54	0	14224	107	14662	125	0	7	1	2
1772485434	6	0	0	0	0	1211	4004	0	14564	6593	0	54	0	42992	191	28213	195	0	11	1	2
1772485436	8	0	0	0	0	1211	4004	0	14564	6593	0	54	0	44734	208	28821	205	0	15	1	2
1772485438	10	0	0	0	0	1211	4004	0	14564	6593	0	54	0	45014	213	28981	208	0	19	1	2
1772485440	12	0	0	0	0	1211	4004	0	14564	6593	0	54	0	45417	218	29245	212	0	23	1	2
1772485442	14	0	0	0	0	1211	4004	0	14564	6593	0	54	0	47035	238	30725	232	0	27	1	2
1772485444	16	0	0	0	0	1216	4004	0	14564	6593	0	54	0	48220	253	31433	240	0	31	1	2
1772485446	18	0	0	0	0	1216	4004	0	14564	6593	0	54	0	48340	255	31433	240	0	35	1	2
1772485448	20	0	0	0	0	1216	4004	0	14564	6593	0	54	0	48940	265	31913	248	0	38	1	2
1772485450	22	0	0	0	0	1216	4004	0	14564	6593	0	54	0	49860	280	32765	261	0	43	1	2
1772485452	24	0	0	0	0	1216	4004	0	14564	6593	0	54	0	50664	294	33245	269	0	46	1	2
1772485454	26	0	0	0	0	1216	4004	0	14564	6593	0	54	0	52240	317	34401	285	0	51	1	2
1772485456	28	0	0	0	0	1216	4004	0	14564	6593	0	54	0	54225	338	36611	310	0	54	1	2
1772485458	30	0	0	0	0	1216	4004	0	14564	6593	0	54	0	59767	354	39520	326	0	59	1	2
1772485460	32	0	0	0	0	1216	4004	0	14564	6593	0	54	0	66321	368	40383	335	0	63	1	2
1772485462	34	0	0	0	0	1216	4004	0	14564	6593	0	54	0	67461	385	41247	347	0	67	1	2
1772485464	36	0	0	0	0	1216	4004	0	14564	6593	0	54	0	68363	396	41859	353	0	71	1	2
1772485466	38	0	0	0	0	1211	4004	0	14564	6593	0	54	0	70160	407	44328	364	0	75	1	2
1772485468	40	0	0	0	0	1211	4004	0	14564	6593	0	54	0	71046	420	45120	376	0	79	1	2
1772485470	42	0	0	0	0	1216	4004	0	14564	6593	0	54	0	72099	436	45775	384	0	83	1	2
1772485472	44	0	0	0	0	1216	4004	0	14564	6593	0	54	0	72219	438	45775	384	0	87	1	2
1772485474	46	0	0	0	0	1216	4004	0	14564	6593	0	54	0	73725	459	46963	400	0	91	1	2
1772485476	48	0	0	0	0	1216	4004	0	14564	6593	0	54	0	74325	469	47443	408	0	95	1	2
1772485478	50	0	0	0	0	1211	4004	0	14564	6593	0	54	0	76921	491	50716	430	0	99	1	2
1772485480	52	0	0	0	0	1211	4004	0	14564	6593	0	54	0	78148	506	51693	442	0	103	1	2
1772485482	54	0	0	0	0	1211	4004	0	14564	6593	0	54	0	78485	510	52089	446	0	107	1	2
