Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485624	1	0	0	0	0	1203	3824	0	80100	6593	0	1110101	1110016	288	3	66	1	0	0	1	2
1772485626	3	0	0	0	0	1201	3824	0	80100	6593	0	15261781	15261696	6464	31	6089	19	0	0	1	2
1772485628	5	0	0	0	0	1201	3824	0	80100	6593	0	28061781	28061696	9174	50	9530	38	0	0	1	2
1772485630	7	0	0	0	0	1201	3824	0	80100	6593	0	42213461	42213376	11593	75	12979	64	0	0	1	2
1772485632	9	0	0	0	0	1203	3824	0	80100	6593	0	49999957	49999872	12235	84	13571	70	0	0	1	2
1772485634	11	0	0	0	0	1203	3824	0	80100	5646785	0	50000981	50003968	13709	103	15023	86	0	0	1	2
1772485636	13	0	0	0	0	1203	3824	0	80100	18467265	0	50000981	50003968	14309	113	15503	94	0	0	1	2
1772485638	15	0	0	0	0	1203	3824	0	80100	32639425	0	50000981	50003968	15027	124	16129	103	0	0	1	2
1772485640	17	0	0	0	0	1203	3824	0	80100	45455809	0	50000981	50003968	15757	135	16767	112	0	0	1	2
1772485642	19	0	0	0	0	1203	3824	0	80100	50007489	0	50000981	50003968	17053	154	18107	128	0	0	1	2
1772485644	21	0	0	0	0	1210	3952	0	80100	50007489	0	50000981	50003968	18680	171	19025	139	0	0	1	1
