Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772484572	0	0	0	0	0	147669	150348	0	299336	6593	0	88	0	0	0	0	0	0	0	1	1
1772484574	2	0	0	0	0	147669	150348	0	299336	6593	0	88	0	6657	47	5729	43	0	0	1	1
1772484576	4	0	0	0	0	147665	150348	0	299336	6593	0	88	0	15980	88	13389	86	0	0	1	1
1772484578	6	0	0	0	0	147665	150348	0	299336	6593	0	88	0	17176	94	15194	91	0	0	1	1
1772484580	8	0	0	0	0	147666	150348	0	299336	6593	0	88	0	17896	105	16037	102	0	0	1	1
1772484582	10	0	0	0	0	147666	150348	0	299336	6593	0	88	0	18694	118	16649	112	0	0	1	1
1772484584	12	0	0	0	0	147666	150348	0	299336	6593	0	88	0	20186	138	17983	129	0	0	1	1
1772484586	14	0	0	0	0	147666	150348	0	299336	6593	0	88	0	24611	177	22894	178	0	0	1	1
1772484588	16	0	0	0	0	147666	150348	0	299336	6593	0	88	0	36910	219	31802	242	0	0	1	1
1772484590	18	0	0	0	0	147672	150348	0	299336	6593	0	88	0	48536	283	38810	300	0	0	1	1
1772484592	20	0	0	0	0	147672	150348	0	299336	6593	0	88	0	59963	350	49105	391	0	0	1	1
1772484594	22	0	0	0	0	147672	150348	0	299336	6593	0	88	0	87641	428	62245	467	0	0	1	1
1772484596	24	0	0	0	0	147672	150348	0	299336	6593	0	88	0	89883	440	63135	472	0	0	1	1
1772484598	26	0	0	0	0	146958	150348	0	299336	6593	0	88	0	113395	549	76676	588	0	0	1	1
1772484600	28	0	0	0	0	147231	150348	0	299336	6593	0	88	0	140932	595	80991	630	0	0	1	1
1772484602	30	0	0	0	0	147231	150348	0	299336	6593	0	88	0	151223	657	94707	693	0	0	1	1
1772484604	32	0	0	0	0	147372	150348	0	299336	6593	0	88	0	152745	678	96165	712	0	0	1	1
1772484606	34	0	0	0	0	147372	150348	0	299336	6593	0	88	0	155178	695	99919	728	0	0	1	1
1772484608	36	0	0	0	0	147372	150348	0	299336	6593	0	88	0	155894	704	100191	732	0	0	1	1
1772484610	38	0	0	0	0	147371	150348	0	299336	6593	0	88	0	158782	731	102993	755	0	0	1	1
1772484612	40	0	0	0	0	147371	150348	0	299336	6593	0	88	0	160756	742	104795	762	0	0	1	1
1772484614	42	0	0	0	0	147369	150348	0	299336	6593	0	88	0	163985	769	108338	786	0	0	1	1
1772484616	44	0	0	0	0	147369	150348	0	299336	6593	0	88	0	165907	788	109584	801	0	0	1	1
1772484618	46	0	0	0	0	147369	150348	0	299336	6593	0	88	0	173705	817	110258	808	0	0	1	1
1772484620	48	0	0	0	0	147369	150348	0	299336	6593	0	88	0	175436	838	112053	824	0	0	1	1
1772484622	50	0	0	0	0	147369	150348	0	299336	6593	0	88	0	176664	854	113621	840	0	0	1	1
1772484624	52	0	0	0	0	147369	150348	0	299336	6593	0	88	0	177920	870	114827	853	0	0	1	1
1772484626	54	0	0	0	0	147369	150348	0	299336	6593	0	88	0	178735	880	115694	861	0	0	1	1
1772484628	56	0	0	0	0	147369	150348	0	299336	6593	0	88	0	179409	891	116405	871	0	0	1	1
1772484630	58	0	0	0	0	147369	150348	0	299336	6593	0	88	0	182824	928	122112	906	0	0	1	1
1772484632	60	0	0	0	0	147369	150348	0	299336	6593	0	88	0	183076	932	122178	907	0	0	1	1
1772484634	62	0	0	0	0	147365	150348	0	299336	6593	0	88	0	184431	949	123405	921	0	0	1	1
1772484636	64	0	0	0	0	147365	150348	0	299336	6593	0	88	0	186573	966	126821	935	0	0	1	1
1772484638	66	0	0	0	0	147364	150348	0	299336	6593	0	88	0	187625	980	127869	949	0	0	1	1
1772484640	68	0	0	0	0	147364	150348	0	299336	6593	0	88	0	188585	995	129238	966	0	0	1	1
1772484642	70	0	0	0	0	147369	150348	0	299336	6593	0	88	0	190023	1009	130074	976	0	0	1	1
1772484644	72	0	0	0	0	147369	150348	0	299336	6593	0	88	0	190983	1021	130848	985	0	0	1	1
1772484646	74	0	0	0	0	147369	150348	0	299336	6593	0	88	0	194115	1050	133910	1016	0	0	1	1
1772484648	76	0	0	0	0	147369	150348	0	299336	6593	0	88	0	200144	1073	137951	1049	0	0	1	1
1772484650	78	0	0	0	0	147369	150348	0	299336	6593	0	88	0	208788	1108	143372	1081	0	0	1	1
1772484652	80	0	0	0	0	147369	150348	0	299336	6593	0	88	0	214611	1167	150437	1166	0	0	1	1
1772484654	82	0	0	0	0	147369	150348	0	299336	6593	0	88	0	242814	1248	163856	1239	0	0	1	1
1772484656	84	0	0	0	0	147369	150348	0	299336	6593	0	88	0	247223	1271	166355	1259	0	0	1	1
1772484658	86	0	0	0	0	147369	150348	0	299336	6593	0	88	0	248045	1285	167057	1271	0	0	1	1
1772484660	88	0	0	0	0	147369	150348	0	299336	6593	0	88	0	248480	1291	167708	1277	0	0	1	1
1772484662	90	0	0	0	0	147369	150348	0	299336	6593	0	88	0	249175	1302	168283	1286	0	0	1	1
1772484664	92	0	0	0	0	147369	150348	0	299336	6593	0	88	0	250588	1321	169642	1304	0	0	1	1
1772484666	94	0	0	0	0	147369	150348	0	299336	6593	0	88	0	250708	1323	169774	1306	0	0	1	1
1772484668	96	0	0	0	0	147369	150348	0	299336	6593	0	88	0	251246	1331	169874	1308	0	0	1	1
1772484670	98	0	0	0	0	147369	150348	0	299336	6593	0	88	0	252259	1346	170762	1321	0	0	1	1
1772484672	100	0	0	0	0	147369	150348	0	299336	6593	0	88	0	252991	1358	171374	1331	0	0	1	1
1772484674	102	0	0	0	0	147369	150348	0	299336	6593	0	88	0	254431	1378	172694	1349	0	0	1	1
1772484676	104	0	0	0	0	147369	150348	0	299336	6593	0	88	0	255483	1384	172694	1349	0	0	1	1
1772484678	106	0	0	0	0	147369	150348	0	299336	6593	0	88	0	255743	1388	172890	1351	0	0	1	1
1772484680	108	0	0	0	0	147371	150348	0	299336	6593	0	88	0	256988	1406	173925	1365	0	0	1	1
1772484682	110	0	0	0	0	147371	150348	0	299336	6593	0	88	0	257240	1410	174057	1367	0	0	1	1
1772484684	112	0	0	0	0	147371	150348	0	299336	6593	0	88	0	261780	1448	177701	1401	0	0	1	1
1772484686	114	0	0	0	0	147371	150348	0	299336	6593	0	88	0	262440	1459	178181	1409	0	0	1	1
1772484688	116	0	0	0	0	147371	150348	0	299336	6593	0	88	0	263040	1469	178743	1418	0	0	1	1
1772484690	118	0	0	0	0	147371	150348	0	299336	6593	0	88	0	263640	1479	179223	1426	0	0	1	1
1772484692	120	0	0	0	0	147371	150348	0	299336	6593	0	88	0	264043	1484	179421	1429	0	0	1	1
1772484694	122	0	0	0	0	147369	150348	0	299336	6593	0	88	0	265221	1499	180444	1441	0	0	1	1
1772484696	124	0	0	0	0	147369	150348	0	299336	6593	0	88	0	267537	1515	183391	1458	0	0	1	1
1772484698	126	0	0	0	0	147369	150348	0	299336	6593	0	88	0	268828	1528	183937	1467	0	0	1	1
1772484700	128	0	0	0	0	147371	150348	0	299336	6593	0	88	0	269748	1543	184841	1480	0	0	1	1
1772484702	130	0	0	0	0	147369	150348	0	299336	6593	0	88	0	272124	1563	187176	1498	0	0	1	1
1772484704	132	0	0	0	0	147369	150348	0	299336	6593	0	88	0	273826	1582	189342	1515	0	0	1	1
1772484706	134	0	0	0	0	147371	150348	0	299336	6593	0	88	0	289685	1669	211095	1606	0	0	1	1
1772484708	136	0	0	0	0	147371	150348	0	299336	6593	0	88	0	290568	1681	212093	1621	0	0	1	1
1772484710	138	0	0	0	0	147371	150348	0	299336	6593	0	88	0	298886	1718	217733	1658	0	0	1	1
1772484712	140	0	0	0	0	147371	150348	0	299336	6593	0	88	0	303885	1765	224293	1736	0	0	1	1
1772484714	142	0	0	0	0	147371	150348	0	299336	6593	0	88	0	338980	1871	237312	1811	0	0	1	1
1772484716	144	0	0	0	0	147371	150348	0	299336	6593	0	88	0	340038	1876	237440	1813	0	0	1	1
1772484718	146	0	0	0	0	147371	150348	0	299336	6593	0	88	0	340861	1893	238578	1830	0	0	1	1
1772484720	148	0	0	0	0	147371	150348	0	299336	6593	0	88	0	341465	1898	238822	1833	0	0	1	1
1772484722	150	0	0	0	0	147371	150348	0	299336	6593	0	88	0	341924	1906	239189	1839	0	0	1	1
1772484724	152	0	0	0	0	147371	150348	0	299336	6593	0	88	0	343016	1920	240095	1850	0	0	1	1
1772484726	154	0	0	0	0	147371	150348	0	299336	6593	0	88	0	343616	1930	240575	1858	0	0	1	1
1772484728	156	0	0	0	0	147371	150348	0	299336	6593	0	88	0	344022	1936	240675	1860	0	0	1	1
1772484730	158	0	0	0	0	147376	150348	0	299336	6593	0	88	0	344330	1941	240981	1864	0	0	1	1
1772484732	160	0	0	0	0	147376	150348	0	299336	6593	0	88	0	345081	1952	241593	1874	0	0	1	1
1772484734	162	0	0	0	0	147381	150348	0	299336	6593	0	88	0	346173	1966	242565	1886	0	0	1	1
1772484736	164	0	0	0	0	147381	150348	0	299336	6593	0	88	0	347105	1970	242631	1887	0	0	1	1
1772484738	166	0	0	0	0	147381	150348	0	299336	6593	0	88	0	351915	2005	255430	1921	0	0	1	1
1772484740	168	0	0	0	0	147381	150348	0	299336	6593	0	88	0	352575	2014	255814	1925	0	0	1	1
1772484742	170	0	0	0	0	147381	150348	0	299336	6593	0	88	0	352695	2016	255896	1926	0	0	1	1
1772484744	172	0	0	0	0	147381	150348	0	299336	6593	0	88	0	354201	2037	257282	1945	0	0	1	1
1772484746	174	0	0	0	0	147381	150348	0	299336	6593	0	88	0	354801	2047	257762	1953	0	0	1	1
1772484748	176	0	0	0	0	147381	150348	0	299336	6593	0	88	0	355401	2057	258242	1961	0	0	1	1
1772484750	178	0	0	0	0	147381	150348	0	299336	6593	0	88	0	355583	2060	258304	1962	0	0	1	1
1772484752	180	0	0	0	0	147381	150348	0	299336	6593	0	88	0	355703	2062	258304	1962	0	0	1	1
